Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
"119406:""2020-07-18T05:37:30Z,2020-07-18T05:32:46Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
119424:""2020-07-18T05:37:30Z",2020-07-18T05:32:46Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,20402
"119505:""2020-07-18T07:39:24Z,2020-07-18T07:32:46Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
119515:""2020-07-18T07:39:24Z",2020-07-18T07:32:46Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,21722
"119560:""2020-07-18T08:40:21Z,2020-07-18T08:32:47Z,#FelizAlzamiento,http://twitter.com/search?q=%23FelizAlzamiento,%23FelizAlzamiento,
119570:""2020-07-18T08:40:21Z",2020-07-18T08:32:47Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,23277
"119656:""2020-07-18T10:42:15Z,2020-07-18T10:37:49Z,#FelizAlzamiento,http://twitter.com/search?q=%23FelizAlzamiento,%23FelizAlzamiento,
119686:""2020-07-18T10:42:15Z",2020-07-18T10:37:49Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,24905
"122801:""2020-07-21T12:53:29Z,2020-07-21T12:48:46Z,Contra Felipe González,http://twitter.com/search?q=%22Contra+Felipe+Gonz%C3%A1lez%22,%22Contra+Felipe+Gonz%C3%A1lez%22,
122854:""2020-07-21T13:54:28Z",2020-07-21T13:48:46Z,Contra Felipe González,http://twitter.com/search?q=%22Contra+Felipe+Gonz%C3%A1lez%22,%22Contra+Felipe+Gonz%C3%A1lez%22,
"122964:""2020-07-21T15:56:52Z,2020-07-21T15:48:39Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,23166
123149:""2020-07-21T20:01:55Z",2020-07-21T19:58:40Z,Contra Felipe González,http://twitter.com/search?q=%22Contra+Felipe+Gonz%C3%A1lez%22,%22Contra+Felipe+Gonz%C3%A1lez%22,
"124108:""2020-07-22T15:21:31Z,2020-07-22T15:20:04Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,24215
124218:""2020-07-22T18:24:27Z",2020-07-22T18:15:03Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,
"124269:""2020-07-22T19:25:25Z,2020-07-22T19:20:06Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,
124316:""2020-07-22T20:26:24Z",2020-07-22T20:20:06Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,
"124368:""2020-07-22T21:27:23Z,2020-07-22T21:25:04Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,
124420:""2020-07-22T22:28:22Z",2020-07-22T22:24:59Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,
"124471:""2020-07-22T23:29:18Z,2020-07-22T23:24:58Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,
124551:""2020-07-23T00:30:16Z",2020-07-23T00:24:54Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,10044
"124715:""2020-07-23T04:34:39Z,2020-07-23T04:29:50Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,
124718:""2020-07-23T04:34:39Z",2020-07-23T04:29:50Z,#YaSobrasFelipeVI,http://twitter.com/search?q=%23YaSobrasFelipeVI,%23YaSobrasFelipeVI,10336
"126073:""2020-07-24T10:02:16Z,2020-07-24T09:54:59Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
126075:""2020-07-24T10:02:16Z",2020-07-24T09:54:59Z,Felipe Reyes,http://twitter.com/search?q=%22Felipe+Reyes%22,%22Felipe+Reyes%22,
"139883:""2020-06-11T11:54:17Z,2020-06-11T11:48:40Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,
139925:""2020-06-11T12:55:18Z",2020-06-11T12:53:41Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,
"139929:""2020-06-11T12:55:18Z,2020-06-11T12:53:41Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,14419
139967:""2020-06-11T13:56:19Z",2020-06-11T13:48:43Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,12938
"140013:""2020-06-11T14:57:22Z,2020-06-11T14:48:43Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,16235
140060:""2020-06-11T15:58:24Z",2020-06-11T15:53:44Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,19344
"140110:""2020-06-11T16:59:26Z,2020-06-11T16:53:45Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,21809
140162:""2020-06-11T18:00:29Z",2020-06-11T17:53:45Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,
"140458:""2020-06-12T02:08:58Z,2020-06-12T02:03:36Z,#Felices26Bruno,http://twitter.com/search?q=%23Felices26Bruno,%23Felices26Bruno,
140539:""2020-06-12T04:11:12Z",2020-06-12T04:08:35Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,43289
"140692:""2020-06-12T08:15:33Z,2020-06-12T08:13:36Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
140717:""2020-06-12T08:15:33Z",2020-06-12T08:13:36Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,46978
"140990:""2020-06-12T14:21:41Z,2020-06-12T14:18:52Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
141479:""2020-06-13T02:34:17Z",2020-06-13T02:28:39Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,22811
"141599:""2020-06-13T05:37:19Z,2020-06-13T05:33:38Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
141623:""2020-06-13T05:37:19Z",2020-06-13T05:33:38Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,21487
"141649:""2020-06-13T06:38:18Z,2020-06-13T06:33:40Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
141673:""2020-06-13T06:38:18Z",2020-06-13T06:33:40Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,20759
"141699:""2020-06-13T07:39:18Z,2020-06-13T07:33:39Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
141720:""2020-06-13T07:39:18Z",2020-06-13T07:33:39Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,19915
"141746:""2020-06-13T08:40:17Z,2020-06-13T08:33:39Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
141771:""2020-06-13T08:40:17Z",2020-06-13T08:33:39Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,19122
"141794:""2020-06-13T09:41:16Z,2020-06-13T09:38:39Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,10176
141822:""2020-06-13T09:41:16Z",2020-06-13T09:38:39Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,18423
"143804:""2020-06-15T09:29:47Z,2020-06-15T09:25:07Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
143847:""2020-06-15T09:29:47Z",2020-06-15T09:25:07Z,#FelipeGonzález,http://twitter.com/search?q=%23FelipeGonz%C3%A1lez,%23FelipeGonz%C3%A1lez,
"144010:""2020-06-15T13:34:04Z,2020-06-15T13:30:36Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,18289
144594:""2020-06-16T02:47:40Z",2020-06-16T02:45:17Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,96178
"147954:""2020-06-19T08:06:37Z,2020-06-19T08:01:30Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
147959:""2020-06-19T08:06:37Z",2020-06-19T08:01:30Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,
"148004:""2020-06-19T09:07:36Z,2020-06-19T09:01:33Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
148006:""2020-06-19T09:07:36Z",2020-06-19T09:01:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,
"148137:""2020-06-19T12:10:36Z,2020-06-19T12:06:31Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,13945
148180:""2020-06-19T13:11:38Z",2020-06-19T13:06:32Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,15484
"148192:""2020-06-19T13:11:38Z,2020-06-19T13:06:32Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
148221:""2020-06-19T14:12:41Z",2020-06-19T14:11:35Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,17642
"148290:""2020-06-19T15:13:44Z,2020-06-19T15:11:38Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,
148299:""2020-06-19T16:14:47Z",2020-06-19T16:11:39Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,22866
